,state,county,biden_count,trump_count,total_count,dem20_pct,rep20_pct
0,GA,Appling,1779,6526,8341,21.32837789233905,78.24001918235224
1,GA,Atkinson,825,2300,3155,26.148969889064976,72.90015847860539
2,GA,Bacon,625,4018,4668,13.389031705227078,86.07540702656384
3,GA,Baker,652,897,1555,41.92926045016077,57.68488745980708
4,GA,Baldwin,9140,8903,18251,50.0794477014958,48.78088871842638
5,GA,Banks,932,7795,8801,10.58970571525963,88.5694807408249
6,GA,Barrow,10453,26804,37921,27.565201339627123,70.68378998444133
7,GA,Bartow,12092,37674,50467,23.960211623437097,74.6507618840034
8,GA,Ben Hill,2392,4110,6560,36.46341463414634,62.65243902439024
9,GA,Berrien,1269,6419,7743,16.388996512979464,82.90068448921608
10,GA,Bibb,43468,26585,70802,61.39374593938024,37.54837433970792
11,GA,Bleckley,1311,4328,5706,22.97581493165089,75.84998247458815
12,GA,Brantley,699,6991,7746,9.024012393493416,90.2530338239091
13,GA,Brooks,2790,4260,7100,39.29577464788732,60.0
14,GA,Bryan,6739,14244,21340,31.579194001874416,66.74789128397376
15,GA,Bulloch,11243,18386,30084,37.372024996675975,61.11554314585826
16,GA,Burke,5209,5400,10684,48.75514788468738,50.54286783976038
17,GA,Butts,3272,8405,11768,27.804214819850444,71.42250169952413
18,GA,Calhoun,1260,923,2194,57.42935278030994,42.06927985414767
19,GA,Camden,7967,15251,23688,33.63306315433975,64.38280986153326
20,GA,Candler,1269,3134,4432,28.632671480144406,70.71299638989169
21,GA,Carroll,16238,37476,54474,29.808716084737675,68.79612292102655
22,GA,Catoosa,6932,25167,32593,21.268370509005003,77.21596661859908
23,GA,Charlton,1103,3419,4566,24.156811213315812,74.8795444590451
24,GA,Chatham,78369,53288,133589,58.66426127899752,39.88951186100652
25,GA,Chattahoochee,667,880,1582,42.16182048040455,55.62579013906448
26,GA,Chattooga,1854,8064,10050,18.44776119402985,80.23880597014926
27,GA,Cherokee,42794,99587,144830,29.54774563281088,68.76130635917973
28,GA,Clarke,36048,14446,51333,70.22383262228975,28.141741180137537
29,GA,Clay,790,637,1434,55.090655509065556,44.42119944211995
30,GA,Clayton,95476,15813,112344,84.98540197963398,14.075518051698355
31,GA,Clinch,747,2105,2864,26.08240223463687,73.49860335195531
32,GA,Cobb,221844,165459,393744,56.34219188101915,42.02197366817018
33,GA,Coffee,4511,10578,15214,29.650322071775996,69.52806625476535
34,GA,Colquitt,4187,11777,16083,26.033700180314618,73.2263881116707
35,GA,Columbia,29236,50013,80579,36.282406085952914,62.06703979945147
36,GA,Cook,2059,4900,7035,29.267945984363898,69.65174129353234
37,GA,Coweta,24210,51501,76799,31.5238479667704,67.05946692014219
38,GA,Crawford,1615,4428,6102,26.46673221894461,72.56637168141593
39,GA,Crisp,2986,4987,8039,37.143923373553925,62.035078989924116
40,GA,Dade,1261,6066,7434,16.962604250739844,81.59806295399515
41,GA,Dawson,2486,13398,16081,15.459237609601391,83.3157141968783
42,GA,Decatur,4780,6758,11627,41.11120667412058,58.123333620022365
43,GA,DeKalb,308112,58361,370675,83.1218722600661,15.744520132191273
44,GA,Dodge,2171,5843,8070,26.90210656753408,72.40396530359355
45,GA,Dooly,1911,2159,4105,46.552984165651644,52.59439707673569
46,GA,Dougherty,24579,10449,35308,69.61311883992296,29.593859748498925
47,GA,Douglas,42653,25323,68806,61.99023340987705,36.80347644100805
48,GA,Early,2437,2722,5187,46.982841719683826,52.477347214189315
49,GA,Echols,167,1256,1441,11.589174184594032,87.1616932685635
50,GA,Effingham,7720,23357,31569,24.45436979315151,73.98713928220722
51,GA,Elbert,2879,6226,9171,31.392432668193216,67.88790753462
52,GA,Emanuel,2884,6551,9501,30.35469950531523,68.95063677507632
53,GA,Evans,1324,2888,4247,31.174947021426892,68.00094184129975
54,GA,Fannin,2571,12169,14850,17.313131313131315,81.94612794612794
55,GA,Fayette,31933,36372,69238,46.1206274011381,52.53184667379185
56,GA,Floyd,10972,27120,38588,28.43370996164611,70.28091634705089
57,GA,Forsyth,42203,85122,129305,32.63833571787634,65.83040098990757
58,GA,Franklin,1593,9069,10765,14.797956339990712,84.24523920111471
59,GA,Fulton,381144,137240,524659,72.64604247711371,26.1579425874711
60,GA,Gilmer,2932,13429,16525,17.742813918305597,81.26475037821483
61,GA,Glascock,155,1403,1566,9.897828863346104,89.59131545338442
62,GA,Glynn,15879,25616,41984,37.82155106707317,61.01371951219512
63,GA,Gordon,4384,19405,24033,18.241584487995674,80.74314484250822
64,GA,Grady,3619,7034,10707,33.800317549266836,65.69533949752498
65,GA,Greene,4088,7068,11247,36.347470436560855,62.84342491331022
66,GA,Gwinnett,241827,166413,413865,58.43137254901961,40.20948860135552
67,GA,Habersham,3563,16637,20432,17.438332028191073,81.42619420516837
68,GA,Hall,25031,64170,90523,27.651536073705024,70.88806159760502
69,GA,Hancock,2985,1159,4165,71.66866746698679,27.827130852340936
70,GA,Haralson,1792,12331,14248,12.57720381807973,86.54548006737788
71,GA,Harris,5457,14319,19991,27.297283777699967,71.62723225451452
72,GA,Hart,3157,9464,12727,24.805531547104582,74.36159346271705
73,GA,Heard,824,4516,5391,15.284733815618623,83.76924503802634
74,GA,Henry,73276,48187,122742,59.6992064655945,39.25877042903
75,GA,Houston,32232,41534,74823,43.07766328535344,55.50966948665518
76,GA,Irwin,1008,3134,4168,24.184261036468328,75.19193857965452
77,GA,Jackson,7642,29497,37670,20.286700292009556,78.30368993894345
78,GA,Jasper,1761,5822,7644,23.03767660910518,76.16431187859759
79,GA,Jeff Davis,1028,4695,5771,17.813203950788427,81.35505111765725
80,GA,Jefferson,4061,3537,7642,53.14053912588328,46.283695367704794
81,GA,Jenkins,1266,2161,3455,36.6425470332851,62.54703328509407
82,GA,Johnson,1222,2850,4100,29.804878048780488,69.51219512195121
83,GA,Jones,4888,9965,14966,32.66069758118402,66.58425765067486
84,GA,Lamar,2615,6330,9039,28.930191392853192,70.02987056090275
85,GA,Lanier,1019,2509,3576,28.49552572706935,70.16219239373602
86,GA,Laurens,8073,14493,22729,35.51850059395486,63.76435390910291
87,GA,Lee,4558,12007,16714,27.270551633361258,71.8379801364126
